Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UV control-1	Peptides UV-control-2	Peptides UV-control-3	Peptides UV-test-1	Peptides UV-test-2	Razor + unique peptides UV control-1	Razor + unique peptides UV-control-2	Razor + unique peptides UV-control-3	Razor + unique peptides UV-test-1	Razor + unique peptides UV-test-2	Unique peptides UV control-1	Unique peptides UV-control-2	Unique peptides UV-control-3	Unique peptides UV-test-1	Unique peptides UV-test-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type UV control-1	Identification type UV-control-2	Identification type UV-control-3	Identification type UV-test-1	Identification type UV-test-2	Sequence coverage UV control-1 [%]	Sequence coverage UV-control-2 [%]	Sequence coverage UV-control-3 [%]	Sequence coverage UV-test-1 [%]	Sequence coverage UV-test-2 [%]	Intensity	Intensity UV control-1	Intensity UV-control-2	Intensity UV-control-3	Intensity UV-test-1	Intensity UV-test-2	LFQ intensity UV control-1	LFQ intensity UV-control-2	LFQ intensity UV-control-3	LFQ intensity UV-test-1	LFQ intensity UV-test-2	MS/MS count UV control-1	MS/MS count UV-control-2	MS/MS count UV-control-3	MS/MS count UV-test-1	MS/MS count UV-test-2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions

CON__ENSEMBL:ENSBTAP00000007350	CON__ENSEMBL:ENSBTAP00000007350	4	4	1		1	4	4	1	1	3	3	1	2	1	3	3	1	2	0	1	1	0	0	2.5	2.5	0.8	192.99	1742	1742	0	37.399	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	0.6	1.8	1.8	0.6	1.2	86837000	10879	57762000	27803000	45564	1216000	0	770060	614070	0	0	0	3	3	0	2	8			+	0	158;355;790;980	True;True;True;True	168;383;840;1044	486;487;488;489;1035;1036;1037;1038;2228;2229;2230;2231;2671;2672	316;317;318;672;673;1485;1486;1794	318;673;1486;1794		

CON__ENSEMBL:ENSBTAP00000016046	CON__ENSEMBL:ENSBTAP00000016046	1	1	1		1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2.8	2.8	2.8	77.456	706	706	0	10.361		By MS/MS				0	2.8	0	0	0	84719	0	84719	0	0	0	0	1147.8	0	0	0	0	1	0	0	0	1			+	1	518	True	557	1456	957	957		

CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	4	4	4		1	4	4	4	1	4	4	0	2	1	4	4	0	2	1	4	4	0	2	3.7	3.7	3.7	164.34	1477	1477	0	55.429	By matching	By MS/MS	By MS/MS		By MS/MS	0.7	3.7	3.7	0	2	17689000	22965	11918000	5596800	0	151010	0	174870	85445	0	52580	0	4	2	0	1	7			+	2	641;1062;1374;1415	True;True;True;True	687;1129;1461;1503	1782;1783;2883;2884;2885;2886;3732;3733;3734;3735;3736;3836;3837	1192;1193;1919;2460;2461;2523;2524	1193;1919;2461;2524		

CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	4;4	4;4	4;4	;	2	4	4	4	1	2	0	1	3	1	2	0	1	3	1	2	0	1	3	13.2	13.2	13.2	43.9	401	401;419	0	33.461	By matching	By matching		By MS/MS	By MS/MS	4	8.7	0	3	10.2	866040	26893	468330	0	0	370810	0	8037.7	0	0	69656	0	0	0	1	3	4			+	3	356;1284;1382;1464	True;True;True;True	384;1364;1469;1554	1039;1040;1041;3485;3754;3958;3959	674;2309;2475;2613	674;2309;2475;2613		

CON__ENSEMBL:ENSBTAP00000025008	CON__ENSEMBL:ENSBTAP00000025008	1	1	1		1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1.9	1.9	1.9	59.299	536	536	1	-2					By MS/MS	0	0	0	0	1.9	27108	0	0	0	0	27108	0	0	0	0	5216	0	0	0	0	0	0	+		+	4	977	True	1041	2666	1791	1791	0	386
