Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 2	Peptides Scram	Peptides 4	Peptides 5	Peptides 6	Peptides 7	Peptides A1	Peptides A2	Peptides ALL	Peptides combine	Peptides N1	Peptides N2	Peptides none	Peptides O3	Razor + unique peptides 2	Razor + unique peptides Scram	Razor + unique peptides 4	Razor + unique peptides 5	Razor + unique peptides 6	Razor + unique peptides 7	Razor + unique peptides A1	Razor + unique peptides A2	Razor + unique peptides ALL	Razor + unique peptides combine	Razor + unique peptides N1	Razor + unique peptides N2	Razor + unique peptides none	Razor + unique peptides O3	Unique peptides 2	Unique peptides Scram	Unique peptides 4	Unique peptides 5	Unique peptides 6	Unique peptides 7	Unique peptides A1	Unique peptides A2	Unique peptides ALL	Unique peptides combine	Unique peptides N1	Unique peptides N2	Unique peptides none	Unique peptides O3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 2	Identification type Scram	Identification type 4	Identification type 5	Identification type 6	Identification type 7	Identification type A1	Identification type A2	Identification type ALL	Identification type combine	Identification type N1	Identification type N2	Identification type none	Identification type O3	Sequence coverage 2 [%]	Sequence coverage Scram [%]	Sequence coverage 4 [%]	Sequence coverage 5 [%]	Sequence coverage 6 [%]	Sequence coverage 7 [%]	Sequence coverage A1 [%]	Sequence coverage A2 [%]	Sequence coverage ALL [%]	Sequence coverage combine [%]	Sequence coverage N1 [%]	Sequence coverage N2 [%]	Sequence coverage none [%]	Sequence coverage O3 [%]	Intensity	Intensity 2	Intensity Scram	Intensity 4	Intensity 5	Intensity 6	Intensity 7	Intensity A1	Intensity A2	Intensity ALL	Intensity combine	Intensity N1	Intensity N2	Intensity none	Intensity O3	LFQ intensity 2	LFQ intensity Scram	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity A1	LFQ intensity A2	LFQ intensity ALL	LFQ intensity combine	LFQ intensity N1	LFQ intensity N2	LFQ intensity none	LFQ intensity O3	MS/MS count 2	MS/MS count Scram	MS/MS count 4	MS/MS count 5	MS/MS count 6	MS/MS count 7	MS/MS count A1	MS/MS count A2	MS/MS count ALL	MS/MS count combine	MS/MS count N1	MS/MS count N2	MS/MS count none	MS/MS count O3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions

CON__ENSEMBL:ENSBTAP00000007350	CON__ENSEMBL:ENSBTAP00000007350	6	2	2		1	6	2	2	3	4	6	5	2	5	4	5	6	0	4	5	5	4	1	1	2	2	1	2	1	2	2	0	1	2	2	1	1	1	2	2	1	2	1	2	2	0	1	2	2	1	3.2	0.9	0.9	192.99	1742	1742	0	8.3297	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By matching	2.6	1.9	3.2	2	1.4	2	1.9	2	3.2	0	1.9	2	2	1.9	208370000	226680	29617000	2248400	1538200	29689	2114400	18781000	39710000	1446900	0	53354000	51824000	1907600	5572300	0	0	2778400	2237800	0	3004300	0	7300700	2080800	0	0	40812000	3683600	0	1	2	0	0	0	0	1	0	1	0	2	2	2	0	11			+	0	239;609;610;1516;2014;2534	False;True;True;False;False;False	257;655;656;1599;2131;2683	2585;2586;2587;2588;2589;2590;2591;2592;2593;2594;2595;2596;2597;2598;2599;2600;2601;2602;2603;2604;2605;2606;6508;6509;6510;6511;6512;6513;6514;6515;6516;6517;6518;6519;6520;6521;6522;6523;6524;6525;6526;6527;6528;6529;6530;6531;6532;6533;6534;6535;6536;6537;16204;16205;16206;16207;16208;16209;16210;16211;16212;16213;16214;16215;16216;16217;16218;16219;16220;16221;21613;21614;21615;21616;21617;21618;21619;21620;21621;21622;21623;21624;26987;26988;26989	1265;1266;1267;1268;1269;1270;1271;1272;1273;1274;1275;2936;2937;2938;2939;2940;2941;2942;2943;2944;2945;2946;7249;7250;7251;7252;7253;7254;7255;7256;7257;7258;7259;7260;7261;9543;9544;9545;11931	1274;2937;2946;7259;9543;11931		

CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	2;2	2;2	2;2	;	2	2	2	2	1	1	1	1	2	0	0	0	2	0	0	0	1	0	1	1	1	1	2	0	0	0	2	0	0	0	1	0	1	1	1	1	2	0	0	0	2	0	0	0	1	0	7	7	7	53.341	474	474;475	0	2.8933	By MS/MS	By matching	By matching	By matching	By matching				By MS/MS				By matching		4.6	2.3	4.6	4.6	7	0	0	0	7	0	0	0	2.3	0	594220	208570	45544	29495	51326	82467	0	0	0	118860	0	0	0	57960	0	0	0	0	0	0	0	0	0	91833	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2			+	1	2558;2589	True;True	2707;2739	27225;27226;27227;27228;27229;27513;27514;27515;27516;27517	12026;12135	12026;12135		

CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	6	6	6		1	6	6	6	3	3	4	2	2	1	3	4	3	0	4	4	2	3	3	3	4	2	2	1	3	4	3	0	4	4	2	3	3	3	4	2	2	1	3	4	3	0	4	4	2	3	6	6	6	164.34	1477	1477	0	16.248	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By matching	By MS/MS	3.7	3	4.5	2.3	2.4	1.3	3	3.7	3.2	0	3.7	3.7	2.2	2.8	13420000	235010	1393900	151900	76693	80502	36064	2177700	4626200	142820	0	1966600	2021500	17786	493100	857000	756540	240170	0	828620	0	740640	678590	305450	0	657650	891440	233560	424060	2	2	0	0	1	0	0	1	1	0	1	3	0	2	13			+	2	186;1025;1224;1993;2533;2611	True;True;True;True;True;True	203;1094;1298;2108;2682;2761	2002;2003;2004;2005;2006;10825;10826;10827;12904;12905;12906;12907;12908;12909;12910;12911;12912;21406;21407;21408;21409;26972;26973;26974;26975;26976;26977;26978;26979;26980;26981;26982;26983;26984;26985;26986;27705;27706;27707;27708;27709	1004;1005;4880;5851;9448;11923;11924;11925;11926;11927;11928;11929;11930;12195;12196;12197	1004;4880;5851;9448;11925;12197		

CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	6;6	6;6	6;6	;	2	6	6	6	4	4	4	3	1	3	5	6	4	0	6	5	6	6	4	4	4	3	1	3	5	6	4	0	6	5	6	6	4	4	4	3	1	3	5	6	4	0	6	5	6	6	25.2	25.2	25.2	43.9	401	401;419	0	13.45	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching		By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.5	16.5	16.5	14	4.5	10	18.7	25.2	16.5	0	25.2	20.4	25.2	25.2	12651000	467640	924130	325610	302190	145950	203320	1634800	3010400	771320	0	1531200	897380	885210	1551900	406080	585560	336380	324500	0	423870	1052800	888880	641800	0	942210	1027100	1462800	746900	0	1	0	0	1	1	2	2	0	0	2	3	6	2	20			+	3	432;613;755;1226;2540;2703	True;True;True;True;True;True	465;659;816;1300;2689;2857	4780;4781;4782;4783;4784;4785;4786;4787;4788;4789;4790;6541;6542;6543;6544;6545;6546;6547;8001;8002;8003;8004;8005;8006;8007;8008;8009;8010;8011;8012;8013;8014;12922;12923;12924;12925;12926;12927;12928;12929;12930;12931;12932;12933;27053;27054;27055;27056;27057;27058;27059;27060;27061;27062;27063;27064;27065;28618;28619;28620;28621;28622	2210;2211;2212;2949;2950;2951;2952;3629;3630;3631;3632;3633;5855;5856;5857;5858;5859;5860;11966;12593	2210;2952;3633;5860;11966;12593		

CON__ENSEMBL:ENSBTAP00000031360	CON__ENSEMBL:ENSBTAP00000031360	7	7	7		1	7	7	7	2	5	3	3	0	2	6	6	4	0	7	7	2	5	2	5	3	3	0	2	6	6	4	0	7	7	2	5	2	5	3	3	0	2	6	6	4	0	7	7	2	5	23.2	23.2	23.2	54.678	491	491	0	25.813	By MS/MS	By MS/MS	By matching	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By matching		By MS/MS	By MS/MS	By matching	By MS/MS	6.9	21.4	16.1	16.1	0	6.9	23.2	14.1	18.9	0	23.2	23.2	5.5	21.2	8715100	86385	528470	83318	140830	0	98570	959450	2504000	143820	0	2039000	1728600	31034	371680	146870	156800	59989	95640	0	149120	427780	678240	62464	0	1102300	1407200	71413	187880	1	1	0	1	0	1	3	3	0	0	4	4	0	1	19			+	4	439;518;809;910;996;1269;1315	True;True;True;True;True;True;True	473;558;871;978;1064;1346;1392	4850;4851;4852;4853;4854;4855;4856;4857;4858;5655;5656;5657;5658;8499;8500;8501;8502;8503;8504;9663;9664;9665;9666;9667;9668;9669;9670;9671;9672;9673;9674;10567;10568;10569;10570;10571;10572;10573;10574;13381;13382;13383;13384;13827;13828;13829;13830;13831;13832;13833;13834;13835;13836	2232;2233;2234;2604;3863;3864;4358;4359;4360;4361;4362;4363;4758;6060;6243;6244;6245;6246;6247	2232;2604;3864;4362;4758;6060;6246		
